Category,Message Code,Severity,Message Text,Message Description,Local Target Format,Remote Target Format
ACI Binding,92001,INFO,ACI binding created,Got ACI binding create message,"<timestamp> <seq_num>92001 INFO TrustSec ACI binding created, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92001
                                 INFO TrustSec ACI binding created, <log details>"
ACI Binding,92001,INFO,ACI binding created,Got ACI binding create message,"<timestamp> <seq_num>92001 INFO TrustSec ACI binding created, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92001
                                 INFO TrustSec ACI binding created, <log details>"
ACI Binding,92002,INFO,ACI binding updated,Got ACI binding update message,"<timestamp> <seq_num>92002 INFO TrustSec ACI binding updated, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92002
                                 INFO TrustSec ACI binding updated, <log details>"
ACI Binding,92002,INFO,ACI binding updated,Got ACI binding update message,"<timestamp> <seq_num>92002 INFO TrustSec ACI binding updated, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92002
                                 INFO TrustSec ACI binding updated, <log details>"
ACI Binding,92003,INFO,ACI binding deleted,Got ACI binding delete message,"<timestamp> <seq_num>92003 INFO TrustSec ACI binding deleted, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92003
                                 INFO TrustSec ACI binding deleted, <log details>"
ACI Binding,92003,INFO,ACI binding deleted,Got ACI binding delete message,"<timestamp> <seq_num>92003 INFO TrustSec ACI binding deleted, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92003
                                 INFO TrustSec ACI binding deleted, <log details>"
ACI Binding,92004,INFO,ISE informed ACI about binding created,ISE informed ACI about binding created,"<timestamp> <seq_num>92004 INFO TrustSec ISE informed ACI about binding created, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92004
                                 INFO TrustSec ISE informed ACI about binding created, <log details>"
ACI Binding,92004,INFO,ISE informed ACI about binding created,ISE informed ACI about binding created,"<timestamp> <seq_num>92004 INFO TrustSec ISE informed ACI about binding created, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92004
                                 INFO TrustSec ISE informed ACI about binding created, <log details>"
ACI Binding,92005,INFO,ISE informed ACI about binding updated,ISE informed ACI about binding updated,"<timestamp> <seq_num>92005 INFO TrustSec ISE informed ACI about binding updated, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92005
                                 INFO TrustSec ISE informed ACI about binding updated, <log details>"
ACI Binding,92005,INFO,ISE informed ACI about binding updated,ISE informed ACI about binding updated,"<timestamp> <seq_num>92005 INFO TrustSec ISE informed ACI about binding updated, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92005
                                 INFO TrustSec ISE informed ACI about binding updated, <log details>"
ACI Binding,92006,INFO,ISE informed ACI about binding deleted,ISE informed ACI about binding deleted,"<timestamp> <seq_num>92006 INFO TrustSec ISE informed ACI about binding deleted, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92006
                                 INFO TrustSec ISE informed ACI about binding deleted, <log details>"
ACI Binding,92006,INFO,ISE informed ACI about binding deleted,ISE informed ACI about binding deleted,"<timestamp> <seq_num>92006 INFO TrustSec ISE informed ACI about binding deleted, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num>92006
                                 INFO TrustSec ISE informed ACI about binding deleted, <log details>"
AD Connector,25000,INFO,ISE server password update succeeded,ISE server password update succeeded,"<timestamp> <seq_num> 25000 INFO AD-Connector: ISE server password update succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25000
                                 INFO AD-Connector: ISE server password update succeeded, <log details>"
AD Connector,25000,INFO,ISE server password update succeeded,ISE server password update succeeded,"<timestamp> <seq_num> 25000 INFO AD-Connector: ISE server password update succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25000
                                 INFO AD-Connector: ISE server password update succeeded, <log details>"
AD Connector,25001,ERROR,AD: ISE account password update failed.,ISE server has failed to update its AD machine account password.,"<timestamp> <seq_num> 25001 ERROR AD-Connector: AD: ISE account password update failed., <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25001
                                 ERROR AD-Connector: AD: ISE account password update failed., <log details>"
AD Connector,25001,ERROR,AD: ISE account password update failed.,ISE server has failed to update its AD machine account password.,"<timestamp> <seq_num> 25001 ERROR AD-Connector: AD: ISE account password update failed., <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25001
                                 ERROR AD-Connector: AD: ISE account password update failed., <log details>"
AD Connector,25002,INFO,ISE server TGT refresh succeeded,ISE server TGT refresh succeeded,"<timestamp> <seq_num> 25002 INFO AD-Connector: ISE server TGT refresh succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25002
                                 INFO AD-Connector: ISE server TGT refresh succeeded, <log details>"
AD Connector,25002,INFO,ISE server TGT refresh succeeded,ISE server TGT refresh succeeded,"<timestamp> <seq_num> 25002 INFO AD-Connector: ISE server TGT refresh succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25002
                                 INFO AD-Connector: ISE server TGT refresh succeeded, <log details>"
AD Connector,25003,ERROR,AD: Machine TGT refresh failed.,ISE server TGT (Ticket Granting Ticket) refresh has failed; it is used for AD connectivity and services.,"<timestamp> <seq_num> 25003 ERROR AD-Connector: AD: Machine TGT refresh failed., <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25003
                                 ERROR AD-Connector: AD: Machine TGT refresh failed., <log details>"
AD Connector,25003,ERROR,AD: Machine TGT refresh failed.,ISE server TGT (Ticket Granting Ticket) refresh has failed; it is used for AD connectivity and services.,"<timestamp> <seq_num> 25003 ERROR AD-Connector: AD: Machine TGT refresh failed., <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25003
                                 ERROR AD-Connector: AD: Machine TGT refresh failed., <log details>"
AD Connector,25004,INFO,AD Connector started,AD Connector started,"<timestamp> <seq_num> 25004 INFO AD-Connector: AD Connector started, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25004
                                 INFO AD-Connector: AD Connector started, <log details>"
AD Connector,25004,INFO,AD Connector started,AD Connector started,"<timestamp> <seq_num> 25004 INFO AD-Connector: AD Connector started, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25004
                                 INFO AD-Connector: AD Connector started, <log details>"
AD Connector,25005,INFO,AD Connector stopped,AD Connector stopped,"<timestamp> <seq_num> 25005 INFO AD-Connector: AD Connector stopped, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25005
                                 INFO AD-Connector: AD Connector stopped, <log details>"
AD Connector,25005,INFO,AD Connector stopped,AD Connector stopped,"<timestamp> <seq_num> 25005 INFO AD-Connector: AD Connector stopped, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25005
                                 INFO AD-Connector: AD Connector stopped, <log details>"
